rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,Rhino,1,1,41,7208654
2,Harry Styles,As It Was,Columbia,1,2,99,6543793
3,Joji,Glimpse of Us,88rising Music/Warner Records,1,3,28,5492997
4,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,4,63,5416421
5,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,5,-1,1,4676471
6,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,5,63,4549682
7,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,2,6,63,4144625
8,Bad Bunny,Efecto,Rimas Entertainment LLC,7,8,63,3722317
9,"Charlie Puth, BTS, Jung Kook",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,3,7,14,3715689
10,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,1,9,63,3465003
